case_id,time_s,point_count,median_nearest_neighbor_m,convex_full_volume_proxy_m3,case_index,power_W,scan_speed_mm_s,powder_feed_g_min,validation_cohort,source_root,method,alpha_radius_multiplier,alpha_radius_m,retained_tetrahedra,total_tetrahedra,alpha_full_volume_m3,alpha_to_convex_volume_ratio,relative_difference_from_convex,status,manuscript_use,valid_fraction,mean_alpha_to_convex_volume_ratio,mean_relative_difference_from_convex,n_condition_time_steps
A1-750-8-60000,0.05,463.0,6.196492798349723e-05,7.131139322737307e-10,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.294739197524584e-05,673.0,2454.0,3.86967229350815e-11,0.05426443262957828,0.9457355673704217,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.05,463.0,6.196492798349723e-05,7.131139322737307e-10,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.0001549123199587431,1286.0,2454.0,1.866497567779695e-10,0.2617390410293141,0.7382609589706859,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.05,463.0,6.196492798349723e-05,7.131139322737307e-10,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.00024785971193398893,1769.0,2454.0,5.15912374633223e-10,0.7234641636971814,0.2765358363028186,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.1,739.0,6.460505707760035e-05,1.4631900521732903e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.690758561640052e-05,1006.0,4291.0,4.141713907500934e-11,0.028306055671641604,0.9716939443283584,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.1,739.0,6.460505707760035e-05,1.4631900521732903e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.00016151264269400088,1867.0,4291.0,2.507738635042231e-10,0.1713884420767803,0.8286115579232197,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.1,739.0,6.460505707760035e-05,1.4631900521732903e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.0002584202283104014,2697.0,4291.0,8.038463096541589e-10,0.5493792883981122,0.4506207116018878,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.15,919.0,6.370202116102755e-05,1.930353935548996e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.555303174154133e-05,1180.0,5351.0,3.900567642373255e-11,0.02020648944497283,0.9797935105550272,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.15,919.0,6.370202116102755e-05,1.930353935548996e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.0001592550529025689,2171.0,5351.0,2.816713514900182e-10,0.1459169462671157,0.8540830537328843,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.15,919.0,6.370202116102755e-05,1.930353935548996e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.0002548080846441102,3200.0,5351.0,9.09047002448753e-10,0.4709224488359014,0.5290775511640986,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.2,960.0,6.645911901311961e-05,2.073800570601064e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.968867851967942e-05,1263.0,5715.0,5.5742061031666594e-11,0.026879181065858463,0.9731208189341416,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
