case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,powder_feed_kg_s,csv_count,time_min_s,time_max_s,time_points_s,source_folder
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A1-750-8-60000
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A2-550-8-60000
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A3-950-8-60000
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A4-750-6-60000
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A5-750-10-60000
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,0.00013333333333333334,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A6-750-8-40000
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,0.00023333333333333333,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A7-750-8-70000
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A8-550-6-60000
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A9-550-10-60000
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,0.00013333333333333334,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A10-550-8-40000
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,0.00023333333333333333,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A11-550-8-70000
A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A12-950-6-60000
A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0,0.0002,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A13-950-10-60000
A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0,0.00013333333333333334,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A14-950-8-40000
A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0,0.00023333333333333333,12,0.05,1.0,"0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",A15-950-8-70000
