case_id,symbol,value,unit,definition_or_note
global,T_ref,1700.5,K,midpoint of solidus and liquidus
global,rho_liquidus,6893.640862944163,kg/m3,interpolated/extrapolated at liquidus
global,cp_liquidus,847.0,J/(kg K),interpolated/extrapolated at liquidus
global,k_liquidus,28.921642363775902,W/(m K),interpolated/extrapolated at liquidus
global,alpha_liquidus,4.953257283866309e-06,m2/s,k/(rho cp) at liquidus
global,mu_liquidus,0.007141800000000001,kg/(m s),viscosity curve uses nearest lower value below first liquid data
global,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
global,Pr,0.2091549478385242,-,mu cp / k
A1-750-8-60000,L_ref,0.002241558888888889,m,case-wise quasi-steady mean melt-pool length
A1-750-8-60000,Pe,3.6203391189713776,-,v L_ref / alpha
A1-750-8-60000,Fo_final,0.985804011532885,-,alpha t_final / L_ref^2
A1-750-8-60000,E_star,87.5801477147209,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A1-750-8-60000,Re,17.309363973385036,-,rho v L_ref / mu
A1-750-8-60000,Ma,1264.1379873330077,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A1-750-8-60000,powder_heating_power_proxy,98.28139999999999,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A1-750-8-60000,absorbed_laser_power,262.5,W,eta*P
A1-750-8-60000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A1-750-8-60000,Pr,0.2091549478385242,-,mu cp / k
A2-550-8-60000,L_ref,0.0018739355555555555,m,case-wise quasi-steady mean melt-pool length
A2-550-8-60000,Pe,3.0265911066793425,-,v L_ref / alpha
A2-550-8-60000,Fo_final,1.4105275851729056,-,alpha t_final / L_ref^2
A2-550-8-60000,E_star,64.22544165746199,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A2-550-8-60000,Re,14.470569010951577,-,rho v L_ref / mu
A2-550-8-60000,Ma,1056.8150287436795,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A2-550-8-60000,powder_heating_power_proxy,98.28139999999999,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A2-550-8-60000,absorbed_laser_power,192.5,W,eta*P
A2-550-8-60000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A2-550-8-60000,Pr,0.2091549478385242,-,mu cp / k
A3-950-8-60000,L_ref,0.0023324144444444445,m,case-wise quasi-steady mean melt-pool length
A3-950-8-60000,Pe,3.7670798196436226,-,v L_ref / alpha
A3-950-8-60000,Fo_final,0.9104989351965069,-,alpha t_final / L_ref^2
A3-950-8-60000,E_star,110.9348537719798,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A3-950-8-60000,Re,18.010952447330844,-,rho v L_ref / mu
A3-950-8-60000,Ma,1315.376417742906,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A3-950-8-60000,powder_heating_power_proxy,98.28139999999999,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A3-950-8-60000,absorbed_laser_power,332.5,W,eta*P
A3-950-8-60000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A3-950-8-60000,Pr,0.2091549478385242,-,mu cp / k
A4-750-6-60000,L_ref,0.0019696277777777778,m,case-wise quasi-steady mean melt-pool length
A4-750-6-60000,Pe,2.385857626487394,-,v L_ref / alpha
A4-750-6-60000,Fo_final,1.2767990939656177,-,alpha t_final / L_ref^2
A4-750-6-60000,E_star,116.77353028629453,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A4-750-6-60000,Re,11.407129743492224,-,rho v L_ref / mu
A4-750-6-60000,Ma,1110.7811207357506,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A4-750-6-60000,powder_heating_power_proxy,98.28139999999999,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A4-750-6-60000,absorbed_laser_power,262.5,W,eta*P
A4-750-6-60000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A4-750-6-60000,Pr,0.2091549478385242,-,mu cp / k
A5-750-10-60000,L_ref,0.0021054544444444444,m,case-wise quasi-steady mean melt-pool length
A5-750-10-60000,Pe,4.250646238995713,-,v L_ref / alpha
A5-750-10-60000,Fo_final,1.1173756134680353,-,alpha t_final / L_ref^2
A5-750-10-60000,E_star,70.06411817177673,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A5-750-10-60000,Re,20.32295330769501,-,rho v L_ref / mu
A5-750-10-60000,Ma,1187.3812269730945,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A5-750-10-60000,powder_heating_power_proxy,98.28139999999999,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A5-750-10-60000,absorbed_laser_power,262.5,W,eta*P
A5-750-10-60000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A5-750-10-60000,Pr,0.2091549478385242,-,mu cp / k
A6-750-8-40000,L_ref,0.0019233188888888887,m,case-wise quasi-steady mean melt-pool length
A6-750-8-40000,Pe,3.106350070130216,-,v L_ref / alpha
A6-750-8-40000,Fo_final,1.339023790461206,-,alpha t_final / L_ref^2
A6-750-8-40000,E_star,87.5801477147209,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A6-750-8-40000,Re,14.85190812950999,-,rho v L_ref / mu
A6-750-8-40000,Ma,1084.6649986540122,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A6-750-8-40000,powder_heating_power_proxy,65.52093333333333,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A6-750-8-40000,absorbed_laser_power,262.5,W,eta*P
A6-750-8-40000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A6-750-8-40000,Pr,0.2091549478385242,-,mu cp / k
A7-750-8-70000,L_ref,0.002319611111111111,m,case-wise quasi-steady mean melt-pool length
A7-750-8-70000,Pe,3.74640117107023,-,v L_ref / alpha
A7-750-8-70000,Fo_final,0.9205778604802944,-,alpha t_final / L_ref^2
A7-750-8-70000,E_star,87.5801477147209,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A7-750-8-70000,Re,17.912084843255048,-,rho v L_ref / mu
A7-750-8-70000,Ma,1308.1559159254512,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
