state,label,fit_status,train_points,validation_points,q0,q_inf,k_per_s,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min
front_length_m,L_f,ok,9,3,0.0005844400000000001,0.0010879203596484714,9.566834825281047,0.00015700111659491117,0.1643581527524503,0.00018764908402178553,0.18060547066581872,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00075,0.001200206064427642,8.503301474005443,1.123269222011823e-05,0.010491340308490416,5.070927132633858e-05,0.04055119658243787,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
full_width_m,W,ok,9,3,0.00133876,0.001653167494402746,21.9253152621556,4.7460349763907625e-05,0.029636745288168884,1.7549695996984913e-05,0.010695338659281994,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
height_span_m,H,ok,9,3,0.00091101,0.0014064955708453706,22.610937613136922,4.841554146768752e-05,0.03652875868991269,4.428052539796666e-05,0.030783285873758504,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
Tmax_K,Tmax,ok,9,3,3640.8,1973.0666643033426,1.2662814691629378,319.13422180625327,0.09796471875575669,361.2565109301418,0.12437963743090245,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2620667.721382289,1086840.7282571068,8.715847916873681,52358.61984319468,0.03449287427146083,53283.47308390757,0.04729893662410656,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.42380360929888267,0.648507988650162,99.99999999999999,0.12224836887690585,0.19608416761924674,0.171967485381012,0.2594483805155556,A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0
front_length_m,L_f,ok,9,3,0.00075,0.0008424369843458528,99.99999999999996,0.00015355215205280716,0.1844790378678001,8.188294352637361e-05,0.10429619605957664,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.0006763299999999999,0.0010999984178461596,12.733346789517089,9.29758253966716e-05,0.09267104064078636,7.360356553685119e-05,0.06538470777014406,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
full_width_m,W,ok,9,3,0.0013,0.0015192214874352246,3.095491445985264,2.6093973841532367e-05,0.018528733236167803,5.142873945463273e-05,0.03497982605195936,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
height_span_m,H,ok,9,3,0.00083875,0.0011151824694574574,19.66658101287309,4.068160535390083e-05,0.03815553908621938,2.578988827548084e-05,0.023076699211339133,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
Tmax_K,Tmax,ok,9,3,4269.9,2448.3640138624332,14.089747291863292,131.56932768540432,0.04637966829351805,188.22384340766095,0.07226130686344047,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2677022.4764150945,986214.0439145432,14.275224376124289,60158.913915419886,0.0447996804519203,76724.59258011564,0.07306035026003506,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.562152873869733,0.5408793554037152,99.99999999994708,0.11835171675565465,0.21786590296899122,0.07914706087102502,0.17070451388399777,A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0
front_length_m,L_f,ok,9,3,0.00016247,0.001072084866625292,14.358880568297742,8.740868389054633e-05,0.09895484517544523,0.00010834203074044788,0.1099137980526001,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00046490500000000005,0.0013253602169052841,7.960235426259328,5.562783445117591e-05,0.0516565106132878,0.00011104915161763999,0.07755370599737409,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
full_width_m,W,ok,9,3,0.00074674,0.0016765094404520642,31.22014622652747,4.4960480813281526e-05,0.02907796635485416,4.221062192060173e-05,0.024577258318803898,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
height_span_m,H,ok,9,3,9.947967000000001e-05,0.0016769137989249938,15.069267672627456,8.301553226884702e-05,0.061111581838324686,3.750846435548406e-05,0.022714368807482576,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
Tmax_K,Tmax,ok,9,3,2043.9,3636.2275510611084,99.99999999999058,696.3443225860065,0.20128531842449618,508.37088954805057,0.15953395140527538,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,5095809.7,1299812.2682799657,16.22192112218229,121703.24066037057,0.05962444372465584,129361.06601874255,0.10794134976102956,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.05144092850678339,0.6611491974772473,99.99999999999588,0.1715215217213784,0.2891921058103619,0.0878566978383408,0.14341926831204682,A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0
front_length_m,L_f,ok,9,3,0.00057683,0.0008861998830060729,64.84844675140367,0.00011974338601924818,0.14080591739886744,0.000155599526897443,0.19149139791292163,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00075,0.0011651902981522366,7.074565601185729,4.136414025742711e-05,0.0400995173240758,7.051391708311754e-05,0.06371931421107642,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
full_width_m,W,ok,9,3,0.00135,0.0016471686614456269,14.193791563381724,5.328618422454604e-05,0.03361126819739663,0.0001491342517318321,0.08531122104422585,A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0
