input_role,validation_cohort,source_root,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,time_s,csv_path,row_count,column_schema,sha256,status
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.05,raw data\A1-750-8-60000\A1-750-8-60000-0.05s.csv,2496,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",4da39db0048f4f75d45c23370035fb268931122d230add01bff1aae56d807ff0,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.1,raw data\A1-750-8-60000\A1-750-8-60000-0.1s.csv,3960,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",0ffe0442c00387f4c3777cf796b662f7d749e2b25e9b86dc4ff52db39a7f467b,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.15,raw data\A1-750-8-60000\A1-750-8-60000-0.15s.csv,4884,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",c6cd6c50328da49cf638a909c52e4d77c681f8ad5dbba3a4654862168a77d464,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.2,raw data\A1-750-8-60000\A1-750-8-60000-0.2s.csv,5172,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",00559667338f000f9564f9cb5abb3ee4c6e900cddc52398593d9e47af89741e9,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.3,raw data\A1-750-8-60000\A1-750-8-60000-0.3s.csv,5328,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",6e9c07dff634d28d0695ebedcd4f01d6deb74fa4d2fec037db27cdcc252b4a0a,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.4,raw data\A1-750-8-60000\A1-750-8-60000-0.4s.csv,5376,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",030d7447cf3ce8d99db4b46f03bb1f0aa4531ba75b171b44418662b8180d7bd9,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.5,raw data\A1-750-8-60000\A1-750-8-60000-0.5s.csv,5328,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",1e15e3b4d0cd29d9ade3699b36a6ba69703162d729a191b4d4f84ce111738004,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.6,raw data\A1-750-8-60000\A1-750-8-60000-0.6s.csv,5148,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",73e9ce39d5633fc0b9e0964d14f1586d250a3037e8c51e8c61d29d00bbcc574c,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.7,raw data\A1-750-8-60000\A1-750-8-60000-0.7s.csv,4992,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",b14caf2394de60d9667092eaf550fbc677bdb5da54d7048b1dc75e7d8260f9aa,ok
model_construction,,raw data,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.8,raw data\A1-750-8-60000\A1-750-8-60000-0.8s.csv,5196,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",56e07972e2608859898ddb15ce366ace2f4e443319a46dd6b472ca7383e71142,ok
