case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A1-750-8-60000,0.05,-0.00075,0.0005844400000000001,0.0,0.00066938,-0.0007,0.00021101,2011.4911447084235,3640.8,2620667.721382289,10311000.0,0.10069645166184979,0.42380360929888267,102621.86825053996,104650.0,21995462.958963282,148450000.0,0.7554406015118791,0.076203,1,750.0,8.0,0.008,60000.0,12.0,463
A1-750-8-60000,0.1,-0.0008833290000000001,0.0008,1.7881e-11,0.00078368,-0.000875,0.00035,1976.0808525033829,4213.3,2102209.438430311,21274000.0,0.1201432164912722,0.7481672844685205,102875.41948579162,114590.0,18442386.738836266,132790000.0,0.8327047144790257,0.097844,1,750.0,8.0,0.008,60000.0,12.0,739
A1-750-8-60000,0.15,-0.0010093099999999998,0.0009005,5.9605e-12,0.00077798,-0.0009,0.00047609,1928.7348204570185,3558.8,1655892.9216539718,12675000.0,0.12131784648862882,0.8927805354962662,103094.40696409141,109020.0,13092573.264417846,139090000.0,0.8680866376496191,0.12259,1,750.0,8.0,0.008,60000.0,12.0,919
A1-750-8-60000,0.2,-0.0010818300000000002,0.0009500000000000001,1.1027e-10,0.00085,-0.00089999,0.00050299,1912.2600520833332,3745.9,1589489.1927083333,13722000.0,0.10465251348520405,0.6129727325909367,102916.05520833333,105560.0,14415496.59375,137720000.0,0.8852733505208333,0.086515,1,750.0,8.0,0.008,60000.0,12.0,960
A1-750-8-60000,0.3,-0.0011499999999999998,0.0009500000000000003,2.2948e-10,0.00085151,-0.0008,0.00066445,1885.724703557312,2894.9,1214942.1343873518,3950900.0,0.1047586540419753,0.4869237136348979,103423.46837944664,106170.0,14429628.389328063,128650000.0,0.9021514130434782,0.125,1,750.0,8.0,0.008,60000.0,12.0,1012
A1-750-8-60000,0.4,-0.0011969000000000003,0.0010745999999999998,7.0334e-10,0.00080383,-0.00068251,0.00079472,1858.5687189672294,2672.4,1128888.2542204568,6132900.0,0.12938342699460745,0.7336390652255372,103680.87884806356,107800.0,15568471.767626613,160990000.0,0.9105031996027805,0.064607,1,750.0,8.0,0.008,60000.0,12.0,1007
A1-750-8-60000,0.5,-0.0011883000000000002,0.0014806999999999997,3.2783e-11,0.00078893,-0.00049998,0.00080507,1850.7419321685509,3013.6,1195694.1870503598,6210200.0,0.10567149514508192,0.5427410284297659,103130.46248715314,109630.0,17246140.10791367,214320000.0,0.9044980308324769,0.065703,1,750.0,8.0,0.008,60000.0,12.0,973
A1-750-8-60000,0.6,-0.0011877999999999997,0.0008885000000000004,7.3911e-10,0.00085,-0.00049999,0.00088918,1845.1534303534304,2670.2,1055141.6237006236,7745500.0,0.11151152115023968,0.5117913781258923,103655.72245322245,111600.0,17976409.38253638,137600000.0,0.9152873212058212,0.072749,1,750.0,8.0,0.008,60000.0,12.0,962
A1-750-8-60000,0.7,-0.0011885000000000003,0.0009684000000000003,2.6227e-09,0.000831,-0.00049999,0.00087771,1854.138888888889,2908.9,1098666.6245954693,5302900.0,0.11171306031602747,0.6582166341175221,103727.30852211434,110040.0,17793880.075512405,170520000.0,0.9121083538295577,0.095084,1,750.0,8.0,0.008,60000.0,12.0,927
A1-750-8-60000,0.8,-0.0012500000000000002,0.0008752999999999999,2.7628e-09,0.00082773,-0.00049998,0.00089528,1859.8274948024948,2941.6,1111846.1995841996,5581300.0,0.11265648313259449,0.5314217369737148,103492.68503118503,118880.0,18497420.738045737,149260000.0,0.9037391995841996,0.11591,1,750.0,8.0,0.008,60000.0,12.0,962
